TesterID:,Maccor #1,,,,,,,,,,,,,
Channel Number:,7,,,,,,,,,,,,,
TestName:,ZW_DLG3 200cycles.000,,,,,,,,,,,,,
TestDesc:,JGNE 1C,,,,,,,,,,,,,
StartDateTime:,44628.376476331,,,,,,,,,,,,,
Comment:,DLG 3 1 1400-1600,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Charge,,Discharge,,,
Cycle,Test Time,AH-IN,AH-OUT,WH-IN,WH-OUT,T1_Start,T1_End,T1_Min,T1_Max,T1_Start,T1_End,T1_Min,T1_Max,Date
0,3.835088888889,2.150401812009,2.16607214296,8.357487907015,7.686449229244,35.326610565186,35.40266418457,35.311401367188,37.03010559082,35.296192169189,40.563152313232,35.296192169189,40.563152313232,44628.5362867824
1,7.532077777778,2.157425190102,2.156022536728,8.384646664288,7.674255376346,35.326610565186,35.493919372559,35.311401367188,37.075736999512,35.40266418457,40.458694458008,35.40266418457,40.488540649414,44628.6903385417
2,11.227138888889,2.156543005434,2.157022495613,8.383971049487,7.678291152181,35.326610565186,35.448291778564,35.326610565186,37.09094619751,35.493919372559,40.32438659668,35.478710174561,40.32438659668,44628.8443099421
3,14.924727777778,2.155741102719,2.155406018836,8.383529946241,7.66658551503,35.326610565186,35.433082580566,35.326610565186,36.999687194824,35.448291778564,40.518383026123,35.448291778564,40.518383026123,44628.9983866898
4,18.617777777778,2.155047272874,2.154105987047,8.382050632874,7.655551960667,35.357032775879,35.417869567871,35.341823577881,37.045318603516,35.433082580566,40.458694458008,35.417869567871,40.458694458008,44629.8008670718
5,22.319427777778,2.153740961573,2.154655923468,8.377731647931,7.662279766857,35.357032775879,35.40266418457,35.311401367188,37.09094619751,35.417869567871,40.503463745117,35.40266418457,40.548229217529,44629.9551135532
6,26.016622222222,2.14968583878,2.150889403033,8.365497456697,7.637093857214,35.387451171875,35.341823577881,35.341823577881,37.060523986816,35.40266418457,40.607921600342,35.40266418457,40.607921600342,44630.1091746875
7,29.720588888889,2.148829086239,2.147473016963,8.364809348212,7.615962619517,35.311401367188,35.433082580566,35.280982971191,37.121364593506,35.341823577881,40.607921600342,35.341823577881,40.622844696045,44630.2635173032
8,33.432336111111,2.149092797742,2.147739476785,8.366857290651,7.612774049521,35.357032775879,35.40266418457,35.341823577881,37.136577606201,35.433082580566,40.652690887451,35.433082580566,40.68253326416,44630.4181844444
9,37.146561111111,2.148033635123,2.147339561557,8.363699565447,7.609869011936,35.387451171875,35.448291778564,35.357032775879,37.166996002197,35.40266418457,40.697460174561,35.40266418457,40.697460174561,44630.5729549074
10,40.851677777778,2.147030494308,2.146689547146,8.360224732091,7.60640729899,35.341823577881,35.40266418457,35.311401367188,37.151782989502,35.448291778564,40.637767791748,35.448291778564,40.637767791748,44630.7273459144
11,44.560925,2.14723916228,2.145714740215,8.361744775221,7.602315624913,35.296192169189,35.463500976562,35.280982971191,37.151782989502,35.40266418457,40.652690887451,35.40266418457,40.68253326416,44630.8819088079
12,48.264341666667,2.145624623823,2.145872930071,8.355532571065,7.601985938954,35.387451171875,35.40266418457,35.357032775879,37.151782989502,35.463500976562,40.667610168457,35.448291778564,40.667610168457,44631.0362288889
13,51.975030555556,2.146787704195,2.14447299026,8.360518625211,7.596321320851,35.417869567871,35.417869567871,35.372241973877,37.151782989502,35.40266418457,40.637767791748,35.387451171875,40.667610168457,44631.1908520023
14,55.6794,2.14634912854,2.145539641667,8.359366255394,7.599889207119,35.372241973877,35.509132385254,35.341823577881,37.136577606201,35.433082580566,40.697460174561,35.417869567871,40.697460174561,44631.3452117824
15,59.393158333333,2.145868241737,2.145397976484,8.357493608327,7.598443135396,35.341823577881,35.433082580566,35.326610565186,37.182205200195,35.509132385254,40.667610168457,35.509132385254,40.667610168457,44631.4999627199
16,63.1066,2.145814684265,2.144723026288,8.357602472481,7.594820559311,35.372241973877,35.478710174561,35.357032775879,37.182205200195,35.433082580566,40.607921600342,35.417869567871,40.667610168457,44631.6547005324
17,66.820783333333,2.145287476582,2.14449806168,8.355627071148,7.594690806173,35.40266418457,35.417869567871,35.387451171875,37.182205200195,35.478710174561,40.742225646973,35.478710174561,40.742225646973,44631.8094691898
18,70.534716666667,2.144982034621,2.143831387808,8.355033796013,7.591435995644,35.433082580566,35.478710174561,35.433082580566,37.182205200195,35.417869567871,40.72730255127,35.417869567871,40.742225646973,44631.964228044
19,74.2508,2.145447617473,2.143997945966,8.357031554612,7.591609735336,35.341823577881,35.448291778564,35.326610565186,37.151782989502,35.478710174561,40.786994934082,35.463500976562,40.786994934082,44632.1190753935
20,77.969091666667,2.145495928384,2.14410627273,8.35744777511,7.591832677856,35.311401367188,35.448291778564,35.311401367188,37.151782989502,35.448291778564,40.816841125488,35.448291778564,40.816841125488,44632.2740151852
21,81.684452777778,2.144774089333,2.144398159169,8.35473282526,7.593113714133,35.387451171875,35.478710174561,35.387451171875,37.212623596191,35.448291778564,40.757148742676,35.433082580566,40.772071838379,44632.4288329282
22,85.400933333333,2.144428379238,2.143698131194,8.353859485811,7.589437640469,35.326610565186,35.433082580566,35.326610565186,37.182205200195,35.478710174561,40.742225646973,35.478710174561,40.742225646973,44632.5836973264
23,89.111580555556,2.142673161924,2.143114681722,8.346742575015,7.586649982328,35.372241973877,35.387451171875,35.296192169189,37.182205200195,35.433082580566,40.846687316895,35.433082580566,40.846687316895,44632.7383250347
