TesterID:,Maccor #1,,,,,,,,,,,,,
Channel Number:,8,,,,,,,,,,,,,
TestName:,ZW_DLG3 200cycles.000,,,,,,,,,,,,,
TestDesc:,JGNE 1C,,,,,,,,,,,,,
StartDateTime:,44389.7636138426,,,,,,,,,,,,,
Comment:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Charge,,Discharge,,,
Cycle,Test Time,AH-IN,AH-OUT,WH-IN,WH-OUT,T1_Start,T1_End,T1_Min,T1_Max,T1_Start,T1_End,T1_Min,T1_Max,Date
0,4.031316666667,2.297469687529,2.31944881022,8.863631895787,8.207932312928,35.556854248047,35.692119598389,35.556854248047,37.856342315674,35.63200378418,42.173057556152,35.616973876953,42.173057556152,44389.931600162
1,7.871522222222,2.300186490255,2.300949605385,8.873828870869,8.148570032628,35.451648712158,35.707145690918,35.421592712402,37.841312408447,35.692119598389,41.937126159668,35.692119598389,41.937126159668,44390.0916188079
2,11.713886111111,2.301104121631,2.301507958004,8.877513451425,8.149792298505,35.496738433838,35.54182434082,35.496738433838,37.856342315674,35.707145690918,41.892887115479,35.707145690918,41.892887115479,44390.2517272917
3,15.562372222222,2.301547771335,2.300649659639,8.879856211137,8.144771388892,35.496738433838,35.707145690918,35.466678619385,37.856342315674,35.54182434082,41.98136138916,35.54182434082,41.98136138916,44390.4120909144
4,19.407508333333,2.300687094258,2.301307934268,8.876354459454,8.145066443207,35.316387176514,35.54182434082,35.286327362061,37.901428222656,35.707145690918,41.9518699646,35.707145690918,41.9518699646,44390.5723150463
5,23.256297222222,2.30131292863,2.300141333299,8.879119134787,8.140306492536,35.451648712158,35.692119598389,35.436618804932,37.88639831543,35.54182434082,41.863395690918,35.526798248291,41.863395690918,44390.7326912037
6,27.102955555556,2.30001598976,2.29988310572,8.874227008353,8.139353622689,35.451648712158,35.662059783936,35.361473083496,37.826286315918,35.692119598389,41.878143310547,35.677089691162,41.878143310547,44390.8929786458
7,30.950241666667,2.299376722786,2.298791281164,8.871900910722,8.135272474884,35.406562805176,35.722179412842,35.406562805176,37.856342315674,35.662059783936,41.892887115479,35.647029876709,41.892887115479,44391.0532922454
8,34.793783333333,2.29845578105,2.297924830667,8.868581612765,8.131631982824,35.571884155273,35.571884155273,35.571884155273,37.841312408447,35.722179412842,41.937126159668,35.722179412842,41.937126159668,44391.2134498611
