TesterID:,Maccor #1,,,,,,,,,,,,,
Channel Number:,3,,,,,,,,,,,,,
TestName:,ZW_MOLI_B 200cycles_1C.000,,,,,,,,,,,,,
TestDesc:,moli_s,,,,,,,,,,,,,
StartDateTime:,44287.6920836227,,,,,,,,,,,,,
Comment:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Charge,,Discharge,,,
Cycle,Test Time,AH-IN,AH-OUT,WH-IN,WH-OUT,T1_Start,T1_End,T1_Min,T1_Max,T1_Start,T1_End,T1_Min,T1_Max,Date
0,7.0234,3.235352178649,3.239536429219,12.485277827363,11.508132583734,34.082969665527,34.319202423096,33.893978118896,36.823291778564,34.334949493408,40.545314788818,34.334949493408,40.545314788818,44287.984760081
1,10.935886111111,3.241251683155,3.243129700838,12.506563782413,11.520991938943,34.208957672119,34.460945129395,34.019973754883,36.823291778564,34.319202423096,40.545314788818,34.319202423096,40.545314788818,44288.1477956597
2,14.852138888889,3.245297391555,3.246431289472,12.521526566105,11.533642583163,34.271957397461,33.893978118896,33.878231048584,36.413818359375,34.460945129395,40.545314788818,34.460945129395,40.545314788818,44288.3109879977
3,18.763586111111,3.245314210812,3.248297987928,12.520372772705,11.541183161114,33.972728729248,34.09871673584,33.563251495361,36.555561065674,33.893978118896,40.035404205322,33.893978118896,40.050853729248,44288.4739809375
4,22.677866666667,3.245991298967,3.24693309809,12.522939934939,11.536532675294,33.830986022949,33.941226959229,33.484508514404,36.555561065674,34.09871673584,40.081760406494,34.082969665527,40.081760406494,44288.6370912616
5,26.591483333333,3.244107362054,3.247038135263,12.515333165957,11.537347416543,33.752239227295,34.319202423096,33.531753540039,36.728797912598,33.941226959229,40.050853729248,33.941226959229,40.050853729248,44288.800174213
6,30.507786111111,3.243746286547,3.245241568967,12.514258991468,11.530919782594,34.145965576172,34.366451263428,33.956977844238,36.791793823242,34.319202423096,40.390796661377,34.319202423096,40.390796661377,44288.963368831
7,34.422594444444,3.242139177539,3.244658006748,12.508198720908,11.529310567021,34.208957672119,34.38219833374,34.019973754883,36.870536804199,34.366451263428,40.483505249023,34.366451263428,40.483505249023,44289.1265009259
8,38.334563888889,3.240355141019,3.24325809364,12.501335563794,11.524485551121,34.208957672119,34.445194244385,34.004222869873,36.854789733887,34.38219833374,40.529861450195,34.38219833374,40.529861450195,44289.2895149537
