TesterID:,Maccor #1,,,,,,,,,,,,,
Channel Number:,2,,,,,,,,,,,,,
TestName:,ZW_Cham_M_200cycles_1C.000,,,,,,,,,,,,,
TestDesc:,LGEB 3-cycle Capacity test.,,,,,,,,,,,,,
StartDateTime:,44482.6121134028,,,,,,,,,,,,,
Comment:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Charge,,Discharge,,,
Cycle,Test Time,AH-IN,AH-OUT,WH-IN,WH-OUT,T1_Start,T1_End,T1_Min,T1_Max,T1_Start,T1_End,T1_Min,T1_Max,Date
0,6.63145,2.324755581835,2.297883654197,9.024855550864,70671071371.3681,34.118976593018,34.197830200195,34.087432861328,36.626518249512,34.497470855713,41.270221710205,34.087432861328,41.270221710205,44487.8331041435
1,10.418288888889,2.320988147555,2.32261276841,9.009634977301,8.181953074045,33.961265563965,34.245140075684,33.945499420166,36.547664642334,34.197830200195,41.471366882324,34.197830200195,41.471366882324,44487.9908991435
2,14.202077777778,2.319087682155,2.320337282029,9.002242801119,8.175747323646,34.04012298584,34.213600158691,34.024349212646,36.579204559326,34.245140075684,41.50231552124,34.245140075684,41.50231552124,44488.1485671296
3,17.987155555556,2.316448835652,2.317733016285,8.992538452564,8.168430327919,33.992809295654,34.213600158691,33.977039337158,36.547664642334,34.213600158691,41.424949645996,34.213600158691,41.424949645996,44488.3062887153
4,21.768611111111,2.316258332274,2.315484097132,8.992332630486,8.162227069972,34.055892944336,34.134746551514,33.961265563965,36.547664642334,34.213600158691,41.424949645996,34.197830200195,41.424949645996,44488.4638594329
5,25.547055555556,2.312352237142,2.314950868493,8.977136779862,8.162231025198,34.04012298584,34.245140075684,33.977039337158,36.579204559326,34.134746551514,41.254745483398,34.134746551514,41.254745483398,44488.6213047454
6,29.320388888889,2.311085604384,2.311439823928,8.972318971911,8.151225259631,34.04012298584,34.166286468506,34.008583068848,36.468811035156,34.229370117188,41.332111358643,34.229370117188,41.332111358643,44488.778537037
7,33.090836111111,2.309313598332,2.310044297364,8.965764690115,8.147457884344,33.882415771484,34.087432861328,33.835102081299,36.500350952148,34.166286468506,41.316638946533,34.166286468506,41.316638946533,44488.9356492014
8,36.866483333333,2.308977788374,2.308417669947,8.964965006887,8.143364688745,33.961265563965,34.103202819824,33.945499420166,36.500350952148,34.087432861328,41.301162719727,34.087432861328,41.301162719727,44489.0929779745
9,40.640913888889,2.307836633945,2.308444403754,8.960719668856,8.144998969493,33.882415771484,34.118976593018,33.866645812988,36.500350952148,34.103202819824,41.363056182861,34.103202819824,41.363056182861,44489.2502560532
10,44.40505,2.304451116028,2.307013227877,8.947437197532,8.141232688311,33.913955688477,34.229370117188,33.89818572998,36.516124725342,34.118976593018,41.20832824707,34.118976593018,41.20832824707,44489.4071051852
11,48.174877777778,2.305028439426,2.303991136204,8.950310513484,8.13114951581,34.008583068848,34.04012298584,33.913955688477,36.531890869141,34.229370117188,41.378532409668,34.229370117188,41.378532409668,44489.5641915162
12,51.939238888889,2.299547627222,2.304657765147,8.929304714801,8.135118442633,34.15051651001,34.213600158691,34.134746551514,36.626518249512,34.04012298584,41.486843109131,34.04012298584,41.486843109131,44489.7210499769
13,55.697838888889,2.29777182464,2.299813363512,8.922473808582,8.118054945029,34.182060241699,34.260913848877,34.15051651001,36.626518249512,34.213600158691,41.471366882324,34.213600158691,41.471366882324,44489.8776683796
14,59.452172222222,2.29703092156,2.298026845706,8.919841258003,8.112322214024,34.055892944336,34.260913848877,34.024349212646,36.594974517822,34.276679992676,41.455898284912,34.260913848877,41.455898284912,44490.0341094444
15,63.209161111111,2.296156428711,2.297200146656,8.91656485447,8.1102839846,34.134746551514,34.245140075684,34.118976593018,36.626518249512,34.260913848877,41.316638946533,34.260913848877,41.332111358643,44490.1906603356
16,66.973022222222,2.296093685732,2.296497969702,8.916778626824,8.108419354895,34.087432861328,34.118976593018,33.977039337158,36.594974517822,34.245140075684,41.440422058105,34.245140075684,41.440422058105,44490.3474981366
17,70.729469444444,2.293674004561,2.29619581818,8.907455191877,8.10827252587,34.118976593018,34.245140075684,34.103202819824,36.579204559326,34.118976593018,41.038120269775,34.118976593018,41.038120269775,44490.5040266088
18,74.48355,2.29281769877,2.294124674686,8.904366471972,8.101061216076,34.103202819824,34.197830200195,34.087432861328,36.579204559326,34.245140075684,41.363056182861,34.245140075684,41.363056182861,44490.6604566782
19,78.232858333333,2.29168086561,2.293493674288,8.899764341807,8.099208671961,34.055892944336,34.245140075684,34.055892944336,36.56343460083,34.197830200195,41.301162719727,34.197830200195,41.301162719727,44490.8166879398
20,81.983483333333,2.291446783737,2.291875905157,8.899182841988,8.093815309217,34.071662902832,34.292453765869,34.071662902832,36.56343460083,34.260913848877,41.378532409668,34.260913848877,41.378532409668,44490.9729740278
21,85.741447222222,2.29211650899,2.291742504853,8.902262837504,8.093976180351,33.89818572998,34.071662902832,33.89818572998,36.594974517822,34.292453765869,41.161907196045,34.292453765869,41.161907196045,44491.1295659722
22,89.487580555556,2.289476287904,2.292649308682,8.891567123908,8.097819092474,34.197830200195,34.197830200195,34.15051651001,36.547664642334,34.071662902832,41.223796844482,34.071662902832,41.223796844482,44491.2856649537
23,93.234955555556,2.28989873223,2.290089275451,8.893544806567,8.088624598959,34.182060241699,34.276679992676,34.166286468506,36.579204559326,34.197830200195,41.316638946533,34.197830200195,41.316638946533,44491.4418156134
24,96.991422222222,2.290374307622,2.290480322644,8.895839073493,8.090693335204,34.04012298584,34.182060241699,34.04012298584,36.594974517822,34.276679992676,41.254745483398,34.276679992676,41.254745483398,44491.5983455556
25,100.745466666667,2.289667323652,2.29049814942,8.893512332526,8.091460403577,34.024349212646,34.229370117188,34.008583068848,36.610744476318,34.182060241699,41.146434783936,34.182060241699,41.146434783936,44491.7547737847
26,104.495538888889,2.288395251053,2.290409280452,8.888221237783,8.091649722436,34.197830200195,34.229370117188,34.15051651001,36.56343460083,34.229370117188,41.301162719727,34.213600158691,41.301162719727,44491.9110368403
27,108.244330555556,2.287831858718,2.289004812526,8.88603752059,8.086749683333,34.15051651001,34.323993682861,34.134746551514,36.547664642334,34.229370117188,41.301162719727,34.229370117188,41.301162719727,44492.0672466204
