TesterID:,Maccor #1,,,,,,,,,,,,,
Channel Number:,13,,,,,,,,,,,,,
TestName:,ZW_Cham200cycles_1C.000,,,,,,,,,,,,,
TestDesc:,LGEB 3-cycle Capacity test.,,,,,,,,,,,,,
StartDateTime:,44239.6204288889,,,,,,,,,,,,,
Comment:,Started by TF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Charge,,Discharge,,,
Cycle,Test Time,AH-IN,AH-OUT,WH-IN,WH-OUT,T1_Start,T1_End,T1_Min,T1_Max,T1_Start,T1_End,T1_Min,T1_Max,Date
0,4.248308333333,2.398103776184,2.414520675127,9.12182062741,8.527143372677,34.066436767578,34.223663330078,33.987819671631,34.255107879639,34.00354385376,34.11360168457,33.924926757812,34.239387512207,44239.7974530093
1,8.270519444444,2.40371184524,2.404272697795,9.141770046127,8.492837248813,34.239387512207,33.987819671631,33.421802520752,34.522392272949,34.239387512207,34.506671905518,33.516139984131,34.601009368896,44239.9650539699
2,12.301988888889,2.406928349991,2.406879779677,9.154225249374,8.500718382981,34.380889892578,34.207939147949,33.358909606934,34.538116455078,33.987819671631,34.569561004639,33.972095489502,34.616733551025,44240.1330403704
3,16.335252777778,2.407591143833,2.407558824377,9.157847629927,8.501805562205,34.207939147949,34.19221496582,33.358909606934,34.490947723389,34.207939147949,34.333721160889,33.421802520752,34.538116455078,44240.3011019329
4,20.372069444444,2.409158292007,2.408721515645,9.164702576142,8.504046563021,34.129325866699,34.302272796631,33.358909606934,34.506671905518,34.19221496582,34.333721160889,33.358909606934,34.522392272949,44240.469313125
5,24.408822222222,2.410218210795,2.410389714995,9.168331665063,8.509126681782,34.333721160889,34.223663330078,33.248851776123,34.475227355957,34.286552429199,34.396614074707,33.296020507812,34.459503173828,44240.6375206713
6,28.449433333333,2.410929358358,2.410433063333,9.171736377421,8.507789049495,34.349445343018,34.08215713501,33.233127593994,34.475227355957,34.223663330078,34.349445343018,33.280296325684,34.459503173828,44240.805889456
7,32.488386111111,2.41153246145,2.41166080042,9.173955020629,8.511268582328,34.11360168457,33.972095489502,33.248851776123,34.522392272949,34.08215713501,34.475227355957,34.066436767578,34.490947723389,44240.9741891551
8,36.529513888889,2.411964078991,2.411761798615,9.175838051434,8.510055298492,34.129325866699,33.972095489502,33.233127593994,34.490947723389,33.972095489502,34.553840637207,33.972095489502,34.569561004639,44241.1425794792
9,40.571125,2.412126006884,2.411927915957,9.176269368959,8.511431749559,34.11360168457,34.349445343018,33.343185424805,34.490947723389,33.972095489502,34.050712585449,33.421802520752,34.632453918457,44241.3109899074
10,44.61355,2.412107562965,2.412281930351,9.175647552,8.514071252302,34.380889892578,34.207939147949,33.185958862305,34.428058624268,34.349445343018,34.443782806396,33.453247070312,34.569561004639,44241.4794342361
11,48.65585,2.412694298212,2.412751179607,9.177436799537,8.516845867074,33.87776184082,34.050712585449,33.201683044434,34.443782806396,34.207939147949,34.585285186768,34.176494598389,34.616733551025,44241.6478733796
12,52.697513888889,2.412090964964,2.411920714122,9.175360638975,8.513814006012,34.00354385376,34.270832061768,33.217403411865,34.475227355957,34.050712585449,34.03498840332,33.406078338623,34.569561004639,44241.8162859954
13,56.736280555556,2.412309297831,2.411877551859,9.176373350297,8.513411068196,34.31799697876,33.484691619873,33.280296325684,34.538116455078,34.270832061768,34.506671905518,33.484691619873,34.648178100586,44241.9845778935
14,60.777858333333,2.412354744284,2.411935222061,9.176645525805,8.513848626772,34.380889892578,34.443782806396,33.233127593994,34.538116455078,33.500415802002,34.475227355957,33.421802520752,34.632453918457,44242.152986956
15,64.818711111111,2.41247762985,2.411927982079,9.176822112444,8.514139556773,34.365165710449,34.16077041626,33.343185424805,34.601009368896,34.443782806396,34.365165710449,33.311744689941,34.632453918457,44242.3213658102
16,68.860161111111,2.412499710502,2.411848593203,9.17696093537,8.514203555444,34.066436767578,34.019268035889,33.940650939941,34.129325866699,34.16077041626,34.19221496582,34.03498840332,34.31799697876,44242.4897696644
17,72.901108333333,2.412054216153,2.411790618245,9.17523517317,8.514526578445,33.940650939941,34.00354385376,33.814868927002,34.11360168457,34.019268035889,34.11360168457,32.069644927979,34.239387512207,44242.6581526042
18,76.941552777778,2.412163710231,2.411704039826,9.175270208606,8.514753905841,34.019268035889,34.19221496582,33.987819671631,34.239387512207,34.00354385376,34.16077041626,33.940650939941,34.19221496582,44242.8265145255
19,80.981458333333,2.41153718666,2.411545251901,9.172649714761,8.515277641088,34.03498840332,34.239387512207,33.280296325684,34.553840637207,34.19221496582,34.31799697876,33.343185424805,34.522392272949,44242.994853831
20,85.021066666667,2.411218021329,2.411075854293,9.171318405363,8.513606470034,34.31799697876,34.365165710449,33.264575958252,34.585285186768,34.239387512207,34.412334442139,33.468971252441,34.616733551025,44243.1631809028
21,89.059497222222,2.411124156303,2.411010809745,9.170954748009,8.513587856425,33.264575958252,34.145046234131,33.248851776123,34.286552429199,34.365165710449,34.522392272949,33.437522888184,34.616733551025,44243.3314588079
22,93.100894444444,2.41151664505,2.410245505794,9.172720290931,8.510560537175,33.862041473389,34.129325866699,33.84631729126,34.286552429199,34.145046234131,34.302272796631,33.940650939941,34.365165710449,44243.4998604051
23,97.142169444444,2.411407850343,2.410873434467,9.172254175981,8.513418629401,33.987819671631,34.16077041626,33.84631729126,34.286552429199,34.129325866699,34.333721160889,33.924926757812,34.380889892578,44243.668256956
24,101.177636111111,2.410734580335,2.410591926282,9.169515016747,8.512577242587,34.16077041626,34.019268035889,33.421802520752,34.553840637207,34.16077041626,34.31799697876,33.95637512207,34.349445343018,44243.8364114699
25,105.215719444444,2.410548342277,2.410252444834,9.168907521796,8.511765284447,33.374633789062,34.380889892578,33.327465057373,34.601009368896,34.019268035889,34.097881317139,33.516139984131,34.663898468018,44244.0046743634
26,109.252219444444,2.410311810059,2.409739735341,9.167781547536,8.510300279912,34.302272796631,34.506671905518,33.406078338623,34.616733551025,34.380889892578,34.522392272949,33.468971252441,34.695343017578,44244.1728712384
27,113.289205555556,2.410657557878,2.41042579029,9.169068981498,8.51306590825,34.050712585449,34.145046234131,33.783424377441,34.255107879639,34.522392272949,33.814868927002,33.390354156494,34.758235931396,44244.3410886574
28,117.324713888889,2.409557033138,2.409111419259,9.165041246146,8.508239281614,34.00354385376,34.097881317139,34.00354385376,34.19221496582,34.145046234131,34.302272796631,33.95637512207,34.333721160889,44244.5092447107
